,currency,event,impact,previous_value,forecast_value,actual_value
10923,USD,Chicago PMI,Medium Impact Expected,65.2,62.1,56.3
10924,JPY,Prelim Industrial Production m/m,Low Impact Expected,-1.0%,-0.6%,-1.3%
10925,JPY,Retail Sales y/y,Low Impact Expected,1.2%,1.5%,1.6%
10926,NZD,ANZ Business Confidence,Low Impact Expected,-23.2,,-51.8
10927,AUD,MI Inflation Gauge m/m,Low Impact Expected,0.4%,,0.5%
10928,AUD,Company Operating Profits q/q,Low Impact Expected,4.0%,2.1%,2.0%
10929,AUD,Private Sector Credit m/m,Low Impact Expected,0.8%,0.7%,0.6%
10930,AUD,Retail Sales m/m,Low Impact Expected,-4.4%,0.3%,1.8%
10931,JPY,Housing Starts y/y,Low Impact Expected,4.2%,2.2%,2.1%
10932,CHF,Retail Sales y/y,Low Impact Expected,-0.5%,0.4%,5.1%
10933,CHF,KOF Economic Barometer,Medium Impact Expected,107.2,108.1,105.0
10934,CHF,GDP q/q,Low Impact Expected,1.9%,0.3%,0.3%
10935,EUR,Spanish Flash CPI y/y,Low Impact Expected,6.1%,7.1%,7.4%
10936,CAD,Current Account,Low Impact Expected,0.8B,2.2B,-0.8B
10937,CAD,IPPI m/m,Low Impact Expected,0.5%,0.9%,3.0%
10938,CAD,RMPI m/m,Low Impact Expected,-2.7%,4.9%,6.5%
10939,USD,Goods Trade Balance,Low Impact Expected,-100.5B,-99.6B,-107.6B
10940,USD,Prelim Wholesale Inventories m/m,Low Impact Expected,2.2%,1.3%,0.8%
10941,USD,Chicago PMI,Medium Impact Expected,65.2,62.1,56.3
10942,AUD,AIG Manufacturing Index,Low Impact Expected,48.4,,53.2
10943,AUD,Current Account,Low Impact Expected,22.0B,15.4B,12.7B
10944,JPY,Final Manufacturing PMI,Low Impact Expected,52.9,52.9,52.7
10945,CNY,Manufacturing PMI,Low Impact Expected,50.1,49.9,50.2
10946,CNY,Non-Manufacturing PMI,Low Impact Expected,51.1,50.6,51.6
10947,CNY,Caixin Manufacturing PMI,Low Impact Expected,49.1,49.1,50.4
10948,AUD,Cash Rate,High Impact Expected,0.10%,0.10%,0.10%
10949,AUD,RBA Rate Statement,High Impact Expected,,,
10950,JPY,10-y Bond Auction,Low Impact Expected,0.18|3.3,,0.18|3.2
10951,AUD,Commodity Prices y/y,Low Impact Expected,22.2%,,16.7%
10952,EUR,German Prelim CPI m/m,Low Impact Expected,0.4%,0.8%,0.9%
10953,EUR,Spanish Manufacturing PMI,Low Impact Expected,56.2,55.9,56.9
10954,CHF,Manufacturing PMI,Low Impact Expected,63.8,64.2,62.6
10955,EUR,Italian Manufacturing PMI,Low Impact Expected,58.3,58.0,58.3
10956,EUR,French Final Manufacturing PMI,Low Impact Expected,57.6,57.6,57.2
10957,EUR,German Final Manufacturing PMI,Low Impact Expected,58.5,58.5,58.4
10958,EUR,Final Manufacturing PMI,Low Impact Expected,58.4,58.4,58.2
10959,GBP,Final Manufacturing PMI,Low Impact Expected,57.3,57.3,58.0
10960,GBP,M4 Money Supply m/m,Low Impact Expected,0.0%,0.4%,0.1%
10961,GBP,Mortgage Approvals,Low Impact Expected,71K,72K,74K
10962,GBP,Net Lending to Individuals m/m,Low Impact Expected,4.8B,5.0B,6.5B
10963,EUR,Italian Prelim CPI m/m,Low Impact Expected,1.6%,0.7%,0.9%
10964,CAD,GDP m/m,High Impact Expected,0.6%,0.0%,0.0%
10965,CAD,Manufacturing PMI,Low Impact Expected,56.2,,56.6
10966,USD,Final Manufacturing PMI,Low Impact Expected,57.5,57.5,57.3
10967,NZD,GDT Price Index,Low Impact Expected,4.2%,,5.1%
10968,USD,ISM Manufacturing PMI,High Impact Expected,57.6,58.0,58.6
10969,USD,Construction Spending m/m,Low Impact Expected,0.8%,0.2%,1.3%
10970,USD,ISM Manufacturing Prices,Low Impact Expected,76.1,77.4,75.6
10971,USD,Wards Total Vehicle Sales,Low Impact Expected,15.0M,14.4M,14.1M
10972,GBP,MPC Member Saunders Speaks,Medium Impact Expected,,,
10973,GBP,MPC Member Mann Speaks,Low Impact Expected,,,
10974,AUD,AIG Manufacturing Index,Low Impact Expected,48.4,,53.2
10975,AUD,Current Account,Low Impact Expected,22.0B,15.4B,12.7B
10976,JPY,Final Manufacturing PMI,Low Impact Expected,52.9,52.9,52.7
10977,CNY,Manufacturing PMI,Low Impact Expected,50.1,49.9,50.2
10978,CNY,Non-Manufacturing PMI,Low Impact Expected,51.1,50.6,51.6
10979,CNY,Caixin Manufacturing PMI,Low Impact Expected,49.1,49.1,50.4
10980,AUD,Cash Rate,High Impact Expected,0.10%,0.10%,0.10%
10981,AUD,RBA Rate Statement,High Impact Expected,,,
10982,JPY,10-y Bond Auction,Low Impact Expected,0.18|3.3,,0.18|3.2
10983,AUD,Commodity Prices y/y,Low Impact Expected,22.2%,,16.7%
10984,EUR,German Prelim CPI m/m,Low Impact Expected,0.4%,0.8%,0.9%
10985,EUR,Spanish Manufacturing PMI,Low Impact Expected,56.2,55.9,56.9
10986,CHF,Manufacturing PMI,Low Impact Expected,63.8,64.2,62.6
10987,EUR,Italian Manufacturing PMI,Low Impact Expected,58.3,58.0,58.3
10988,EUR,French Final Manufacturing PMI,Low Impact Expected,57.6,57.6,57.2
10989,EUR,German Final Manufacturing PMI,Low Impact Expected,58.5,58.5,58.4
10990,EUR,Final Manufacturing PMI,Low Impact Expected,58.4,58.4,58.2
10991,GBP,Final Manufacturing PMI,Low Impact Expected,57.3,57.3,58.0
10992,GBP,M4 Money Supply m/m,Low Impact Expected,0.0%,0.4%,0.1%
10993,GBP,Mortgage Approvals,Low Impact Expected,71K,72K,74K
10994,GBP,Net Lending to Individuals m/m,Low Impact Expected,4.8B,5.0B,6.5B
10995,EUR,Italian Prelim CPI m/m,Low Impact Expected,1.6%,0.7%,0.9%
10996,CAD,GDP m/m,High Impact Expected,0.6%,0.0%,0.0%
10997,CAD,Manufacturing PMI,Low Impact Expected,56.2,,56.6
10998,USD,Final Manufacturing PMI,Low Impact Expected,57.5,57.5,57.3
10999,NZD,GDT Price Index,Low Impact Expected,4.2%,,5.1%
11000,USD,ISM Manufacturing PMI,High Impact Expected,57.6,58.0,58.6
11001,USD,Construction Spending m/m,Low Impact Expected,0.8%,0.2%,1.3%
11002,USD,ISM Manufacturing Prices,Low Impact Expected,76.1,77.4,75.6
11003,USD,Wards Total Vehicle Sales,Low Impact Expected,15.0M,14.4M,14.1M
11004,GBP,MPC Member Saunders Speaks,Medium Impact Expected,,,
11005,GBP,MPC Member Mann Speaks,Low Impact Expected,,,
11006,NZD,Building Consents m/m,Low Impact Expected,0.4%,,-9.2%
11007,NZD,Overseas Trade Index q/q,Low Impact Expected,0.4%,0.9%,-1.0%
11008,JPY,Capital Spending q/y,Low Impact Expected,1.2%,2.9%,4.3%
11009,JPY,Monetary Base y/y,Low Impact Expected,8.4%,8.6%,7.6%
11010,GBP,BRC Shop Price Index y/y,Low Impact Expected,1.5%,,1.8%
11011,AUD,GDP q/q,High Impact Expected,-1.9%,3.5%,3.4%
11012,USD,President Biden Speaks,Low Impact Expected,,,
11013,GBP,Nationwide HPI m/m,Low Impact Expected,0.8%,0.6%,1.7%
11014,EUR,French Gov Budget Balance,Low Impact Expected,-170.7B,,-15.9B
11015,EUR,Spanish Unemployment Change,Medium Impact Expected,17.2K,-44.5K,-11.4K
11016,EUR,German Unemployment Change,Low Impact Expected,-48K,-22K,-33K
11017,EUR,Core CPI Flash Estimate y/y,Medium Impact Expected,2.3%,2.6%,2.7%
11018,EUR,CPI Flash Estimate y/y,Medium Impact Expected,5.1%,5.6%,5.8%
11019,All,OPEC-JMMC Meetings,High Impact Expected,,,
11020,EUR,German 10-y Bond Auction,Low Impact Expected,0.31|2.0,,-0.20|1.2
11021,USD,ADP Non-Farm Employment Change,High Impact Expected,509K,378K,475K
11022,USD,FOMC Member Bullard Speaks,Medium Impact Expected,,,
11023,CAD,BOC Rate Statement,High Impact Expected,,,
11024,CAD,Overnight Rate,High Impact Expected,0.25%,0.50%,0.50%
11025,USD,Fed Chair Powell Testifies,High Impact Expected,,,
11026,USD,Crude Oil Inventories,Medium Impact Expected,4.5M,2.5M,-2.6M
11027,GBP,MPC Member Tenreyro Speaks,Low Impact Expected,,,
11028,USD,Beige Book,Low Impact Expected,,,
11029,GBP,MPC Member Cunliffe Speaks,Low Impact Expected,,,
11030,NZD,Building Consents m/m,Low Impact Expected,0.4%,,-9.2%
11031,NZD,Overseas Trade Index q/q,Low Impact Expected,0.4%,0.9%,-1.0%
11032,JPY,Capital Spending q/y,Low Impact Expected,1.2%,2.9%,4.3%
11033,JPY,Monetary Base y/y,Low Impact Expected,8.4%,8.6%,7.6%
11034,GBP,BRC Shop Price Index y/y,Low Impact Expected,1.5%,,1.8%
11035,AUD,GDP q/q,High Impact Expected,-1.9%,3.5%,3.4%
11036,USD,President Biden Speaks,Low Impact Expected,,,
11037,GBP,Nationwide HPI m/m,Low Impact Expected,0.8%,0.6%,1.7%
11038,EUR,French Gov Budget Balance,Low Impact Expected,-170.7B,,-15.9B
11039,EUR,Spanish Unemployment Change,Medium Impact Expected,17.2K,-44.5K,-11.4K
11040,EUR,German Unemployment Change,Low Impact Expected,-48K,-22K,-33K
11041,EUR,Core CPI Flash Estimate y/y,Medium Impact Expected,2.3%,2.6%,2.7%
11042,EUR,CPI Flash Estimate y/y,Medium Impact Expected,5.1%,5.6%,5.8%
11043,All,OPEC-JMMC Meetings,High Impact Expected,,,
11044,EUR,German 10-y Bond Auction,Low Impact Expected,0.31|2.0,,-0.20|1.2
11045,USD,ADP Non-Farm Employment Change,High Impact Expected,509K,378K,475K
11046,USD,FOMC Member Bullard Speaks,Medium Impact Expected,,,
11047,CAD,BOC Rate Statement,High Impact Expected,,,
11048,CAD,Overnight Rate,High Impact Expected,0.25%,0.50%,0.50%
11049,USD,Fed Chair Powell Testifies,High Impact Expected,,,
11050,USD,Crude Oil Inventories,Medium Impact Expected,4.5M,2.5M,-2.6M
11051,GBP,MPC Member Tenreyro Speaks,Low Impact Expected,,,
11052,USD,Beige Book,Low Impact Expected,,,
11053,GBP,MPC Member Cunliffe Speaks,Low Impact Expected,,,
11054,AUD,AIG Construction Index,Low Impact Expected,45.9,,53.4
11055,NZD,ANZ Commodity Prices m/m,Low Impact Expected,1.0%,,3.9%
11056,AUD,Building Approvals m/m,Low Impact Expected,9.8%,-2.9%,-27.9%
11057,AUD,Goods Trade Balance,Low Impact Expected,8.82B,9.00B,12.89B
11058,CNY,Caixin Services PMI,Low Impact Expected,51.4,50.9,50.2
11059,JPY,30-y Bond Auction,Low Impact Expected,0.79|3.4,,0.89|3.1
11060,JPY,Consumer Confidence,Low Impact Expected,36.7,35.0,35.3
11061,CHF,CPI m/m,Low Impact Expected,0.2%,0.3%,0.7%
11062,EUR,Spanish Services PMI,Low Impact Expected,46.6,51.5,56.6
11063,EUR,Italian Services PMI,Low Impact Expected,48.5,52.6,52.8
11064,EUR,French Final Services PMI,Low Impact Expected,57.9,57.9,55.5
11065,EUR,German Final Services PMI,Low Impact Expected,56.6,56.6,55.8
11066,EUR,Final Services PMI,Low Impact Expected,55.8,55.8,55.5
11067,EUR,Italian Monthly Unemployment Rate,Low Impact Expected,9.0%,9.0%,8.8%
11068,GBP,Final Services PMI,Low Impact Expected,60.8,60.8,60.5
11069,EUR,PPI m/m,Low Impact Expected,3.0%,2.5%,5.2%
11070,EUR,Unemployment Rate,Low Impact Expected,7.0%,6.9%,6.8%
11071,EUR,French 10-y Bond Auction,Low Impact Expected,0.45|2.6,,0.52|1.7
11072,EUR,ECB Monetary Policy Meeting Accounts,Low Impact Expected,,,
11073,USD,Challenger Job Cuts y/y,Low Impact Expected,-76.0%,,-55.9%
11074,USD,Unemployment Claims,Medium Impact Expected,233K,223K,215K
11075,USD,Revised Nonfarm Productivity q/q,Low Impact Expected,6.6%,6.6%,6.6%
11076,USD,Revised Unit Labor Costs q/q,Low Impact Expected,0.3%,0.3%,0.9%
11077,USD,Final Services PMI,Low Impact Expected,56.7,56.7,56.5
11078,USD,Fed Chair Powell Testifies,High Impact Expected,,,
11079,USD,ISM Services PMI,High Impact Expected,59.9,61.2,56.5
11080,USD,Factory Orders m/m,Low Impact Expected,0.7%,0.8%,1.4%
11081,USD,Natural Gas Storage,Low Impact Expected,-129B,-138B,-139B
11082,CAD,BOC Gov Macklem Speaks,High Impact Expected,,,
11083,CAD,BOC Gov Macklem Speaks,High Impact Expected,,,
11084,AUD,AIG Construction Index,Low Impact Expected,45.9,,53.4
11085,NZD,ANZ Commodity Prices m/m,Low Impact Expected,1.0%,,3.9%
11086,AUD,Building Approvals m/m,Low Impact Expected,9.8%,-2.9%,-27.9%
11087,AUD,Goods Trade Balance,Low Impact Expected,8.82B,9.00B,12.89B
11088,CNY,Caixin Services PMI,Low Impact Expected,51.4,50.9,50.2
11089,JPY,30-y Bond Auction,Low Impact Expected,0.79|3.4,,0.89|3.1
11090,JPY,Consumer Confidence,Low Impact Expected,36.7,35.0,35.3
11091,CHF,CPI m/m,Low Impact Expected,0.2%,0.3%,0.7%
11092,EUR,Spanish Services PMI,Low Impact Expected,46.6,51.5,56.6
11093,EUR,Italian Services PMI,Low Impact Expected,48.5,52.6,52.8
11094,EUR,French Final Services PMI,Low Impact Expected,57.9,57.9,55.5
11095,EUR,German Final Services PMI,Low Impact Expected,56.6,56.6,55.8
11096,EUR,Final Services PMI,Low Impact Expected,55.8,55.8,55.5
11097,EUR,Italian Monthly Unemployment Rate,Low Impact Expected,9.0%,9.0%,8.8%
11098,GBP,Final Services PMI,Low Impact Expected,60.8,60.8,60.5
11099,EUR,PPI m/m,Low Impact Expected,3.0%,2.5%,5.2%
11100,EUR,Unemployment Rate,Low Impact Expected,7.0%,6.9%,6.8%
11101,EUR,French 10-y Bond Auction,Low Impact Expected,0.45|2.6,,0.52|1.7
11102,EUR,ECB Monetary Policy Meeting Accounts,Low Impact Expected,,,
11103,USD,Challenger Job Cuts y/y,Low Impact Expected,-76.0%,,-55.9%
11104,USD,Unemployment Claims,Medium Impact Expected,233K,223K,215K
11105,USD,Revised Nonfarm Productivity q/q,Low Impact Expected,6.6%,6.6%,6.6%
11106,USD,Revised Unit Labor Costs q/q,Low Impact Expected,0.3%,0.3%,0.9%
11107,USD,Final Services PMI,Low Impact Expected,56.7,56.7,56.5
11108,USD,Fed Chair Powell Testifies,High Impact Expected,,,
11109,USD,ISM Services PMI,High Impact Expected,59.9,61.2,56.5
11110,USD,Factory Orders m/m,Low Impact Expected,0.7%,0.8%,1.4%
11111,USD,Natural Gas Storage,Low Impact Expected,-129B,-138B,-139B
11112,CAD,BOC Gov Macklem Speaks,High Impact Expected,,,
11113,CAD,BOC Gov Macklem Speaks,High Impact Expected,,,
11114,USD,FOMC Member Williams Speaks,Low Impact Expected,,,
11115,JPY,Unemployment Rate,Low Impact Expected,2.7%,2.7%,2.8%
11116,EUR,German Trade Balance,Low Impact Expected,8.1B,7.5B,9.4B
11117,EUR,French Industrial Production m/m,Low Impact Expected,-0.1%,0.5%,1.6%
11118,GBP,Construction PMI,Low Impact Expected,56.3,57.4,59.1
11119,EUR,Retail Sales m/m,Low Impact Expected,-2.7%,1.5%,0.2%
11120,CAD,Building Permits m/m,Low Impact Expected,-2.4%,1.3%,-8.8%
11121,CAD,Labor Productivity q/q,Low Impact Expected,-1.5%,-0.2%,-0.5%
11122,USD,Average Hourly Earnings m/m,High Impact Expected,0.6%,0.5%,0.0%
11123,USD,Non-Farm Employment Change,High Impact Expected,481K,407K,678K
11124,USD,Unemployment Rate,High Impact Expected,4.0%,3.9%,3.8%
11125,CAD,Ivey PMI,Medium Impact Expected,50.7,54.2,60.6
11126,USD,FOMC Member Williams Speaks,Low Impact Expected,,,
11127,JPY,Unemployment Rate,Low Impact Expected,2.7%,2.7%,2.8%
11128,EUR,German Trade Balance,Low Impact Expected,8.1B,7.5B,9.4B
11129,EUR,French Industrial Production m/m,Low Impact Expected,-0.1%,0.5%,1.6%
11130,GBP,Construction PMI,Low Impact Expected,56.3,57.4,59.1
11131,EUR,Retail Sales m/m,Low Impact Expected,-2.7%,1.5%,0.2%
11132,CAD,Building Permits m/m,Low Impact Expected,-2.4%,1.3%,-8.8%
11133,CAD,Labor Productivity q/q,Low Impact Expected,-1.5%,-0.2%,-0.5%
11134,USD,Average Hourly Earnings m/m,High Impact Expected,0.6%,0.5%,0.0%
11135,USD,Non-Farm Employment Change,High Impact Expected,481K,407K,678K
11136,USD,Unemployment Rate,High Impact Expected,4.0%,3.9%,3.8%
11137,CAD,Ivey PMI,Medium Impact Expected,50.7,54.2,60.6
11138,AUD,AIG Services Index,Low Impact Expected,56.2,,60.0
11139,AUD,ANZ Job Advertisements m/m,Low Impact Expected,-0.7%,,8.4%
11140,CNY,Trade Balance,Low Impact Expected,605B,450B,739B
11141,CNY,USD-Denominated Trade Balance,Low Impact Expected,94.5B,95.5B,116.0B
11142,CHF,Unemployment Rate,Low Impact Expected,2.3%,2.3%,2.2%
11143,EUR,German Factory Orders m/m,Low Impact Expected,3.0%,0.9%,1.8%
11144,EUR,German Retail Sales m/m,Low Impact Expected,-4.6%,1.9%,2.0%
11145,GBP,Halifax HPI m/m,Low Impact Expected,0.2%,1.0%,0.5%
11146,CHF,Foreign Currency Reserves,Low Impact Expected,947B,,938B
11147,EUR,Sentix Investor Confidence,Low Impact Expected,16.6,5.1,-7.0
11148,GBP,MPC Member Cunliffe Speaks,Low Impact Expected,,,
11149,USD,Consumer Credit m/m,Low Impact Expected,22.4B,24.7B,6.8B
11150,AUD,AIG Services Index,Low Impact Expected,56.2,,60.0
11151,AUD,ANZ Job Advertisements m/m,Low Impact Expected,-0.7%,,8.4%
11152,CNY,Trade Balance,Low Impact Expected,605B,450B,739B
11153,CNY,USD-Denominated Trade Balance,Low Impact Expected,94.5B,95.5B,116.0B
11154,CHF,Unemployment Rate,Low Impact Expected,2.3%,2.3%,2.2%
11155,EUR,German Factory Orders m/m,Low Impact Expected,3.0%,0.9%,1.8%
11156,EUR,German Retail Sales m/m,Low Impact Expected,-4.6%,1.9%,2.0%
11157,GBP,Halifax HPI m/m,Low Impact Expected,0.2%,1.0%,0.5%
11158,CHF,Foreign Currency Reserves,Low Impact Expected,947B,,938B
11159,EUR,Sentix Investor Confidence,Low Impact Expected,16.6,5.1,-7.0
11160,GBP,MPC Member Cunliffe Speaks,Low Impact Expected,,,
11161,USD,Consumer Credit m/m,Low Impact Expected,22.4B,24.7B,6.8B
11162,JPY,Average Cash Earnings y/y,Low Impact Expected,-0.4%,0.2%,0.9%
11163,JPY,Bank Lending y/y,Low Impact Expected,0.5%,0.6%,0.4%
11164,JPY,Current Account,Low Impact Expected,0.81T,0.33T,0.19T
11165,GBP,BRC Retail Sales Monitor y/y,Low Impact Expected,8.1%,4.7%,2.7%
11166,AUD,NAB Business Confidence,Low Impact Expected,4,,13
11167,JPY,Leading Indicators,Low Impact Expected,104.8%,103.7%,103.7%
11168,JPY,Economy Watchers Sentiment,Low Impact Expected,37.9,38.1,37.7
11169,EUR,German Industrial Production m/m,Low Impact Expected,1.1%,0.5%,2.7%
11170,EUR,Italian Retail Sales m/m,Low Impact Expected,0.8%,1.1%,-0.5%
11171,EUR,Final Employment Change q/q,Low Impact Expected,0.5%,0.5%,0.5%
11172,EUR,Revised GDP q/q,Low Impact Expected,0.3%,0.3%,0.3%
11173,GBP,30-y Bond Auction,Low Impact Expected,0.87|2.4,,1.58|2.3
11174,USD,NFIB Small Business Index,Low Impact Expected,97.1,97.5,95.7
11175,CAD,Trade Balance,Low Impact Expected,-1.6B,1.2B,2.6B
11176,USD,Trade Balance,Low Impact Expected,-82.0B,-87.5B,-89.7B
11177,USD,Final Wholesale Inventories m/m,Low Impact Expected,0.8%,0.8%,0.8%
11178,USD,RCM/TIPP Economic Optimism,Low Impact Expected,44.0,45.7,41.0
11179,USD,President Biden Speaks,Low Impact Expected,,,
11180,JPY,Average Cash Earnings y/y,Low Impact Expected,-0.4%,0.2%,0.9%
11181,JPY,Bank Lending y/y,Low Impact Expected,0.5%,0.6%,0.4%
11182,JPY,Current Account,Low Impact Expected,0.81T,0.33T,0.19T
11183,GBP,BRC Retail Sales Monitor y/y,Low Impact Expected,8.1%,4.7%,2.7%
11184,AUD,NAB Business Confidence,Low Impact Expected,4,,13
11185,JPY,Leading Indicators,Low Impact Expected,104.8%,103.7%,103.7%
11186,JPY,Economy Watchers Sentiment,Low Impact Expected,37.9,38.1,37.7
11187,EUR,German Industrial Production m/m,Low Impact Expected,1.1%,0.5%,2.7%
11188,EUR,Italian Retail Sales m/m,Low Impact Expected,0.8%,1.1%,-0.5%
11189,EUR,Final Employment Change q/q,Low Impact Expected,0.5%,0.5%,0.5%
11190,EUR,Revised GDP q/q,Low Impact Expected,0.3%,0.3%,0.3%
11191,GBP,30-y Bond Auction,Low Impact Expected,0.87|2.4,,1.58|2.3
11192,USD,NFIB Small Business Index,Low Impact Expected,97.1,97.5,95.7
11193,CAD,Trade Balance,Low Impact Expected,-1.6B,1.2B,2.6B
11194,USD,Trade Balance,Low Impact Expected,-82.0B,-87.5B,-89.7B
11195,USD,Final Wholesale Inventories m/m,Low Impact Expected,0.8%,0.8%,0.8%
11196,USD,RCM/TIPP Economic Optimism,Low Impact Expected,44.0,45.7,41.0
11197,USD,President Biden Speaks,Low Impact Expected,,,
11198,NZD,Manufacturing Sales q/q,Low Impact Expected,-2.3%,,12.0%
11199,AUD,RBA Gov Lowe Speaks,High Impact Expected,,,
11200,AUD,Westpac Consumer Sentiment,Low Impact Expected,-1.3%,,-4.2%
11201,JPY,Final GDP q/q,Low Impact Expected,1.3%,1.4%,1.1%
11202,JPY,M2 Money Stock y/y,Low Impact Expected,3.6%,3.5%,3.6%
11203,JPY,Final GDP Price Index y/y,Low Impact Expected,-1.3%,-1.3%,-1.3%
11204,CNY,CPI y/y,Low Impact Expected,0.9%,0.9%,0.9%
11205,CNY,PPI y/y,Low Impact Expected,9.1%,8.5%,8.8%
11206,JPY,Prelim Machine Tool Orders y/y,Low Impact Expected,61.4%,,31.6%
11207,EUR,French Final Private Payrolls q/q,Low Impact Expected,0.5%,0.5%,0.6%
11208,AUD,RBA Deputy Gov Debelle Speaks,Low Impact Expected,,,
11209,EUR,Italian Industrial Production m/m,Low Impact Expected,-1.1%,-0.6%,-3.4%
11210,USD,JOLTS Job Openings,High Impact Expected,11.45M,10.96M,11.26M
11211,USD,Crude Oil Inventories,Medium Impact Expected,-2.6M,-1.1M,-1.9M
11212,USD,10-y Bond Auction,Medium Impact Expected,1.90|2.7,,1.92|2.5
11213,NZD,Manufacturing Sales q/q,Low Impact Expected,-2.3%,,12.0%
11214,AUD,RBA Gov Lowe Speaks,High Impact Expected,,,
11215,AUD,Westpac Consumer Sentiment,Low Impact Expected,-1.3%,,-4.2%
11216,JPY,Final GDP q/q,Low Impact Expected,1.3%,1.4%,1.1%
11217,JPY,M2 Money Stock y/y,Low Impact Expected,3.6%,3.5%,3.6%
11218,JPY,Final GDP Price Index y/y,Low Impact Expected,-1.3%,-1.3%,-1.3%
11219,CNY,CPI y/y,Low Impact Expected,0.9%,0.9%,0.9%
11220,CNY,PPI y/y,Low Impact Expected,9.1%,8.5%,8.8%
11221,JPY,Prelim Machine Tool Orders y/y,Low Impact Expected,61.4%,,31.6%
11222,EUR,French Final Private Payrolls q/q,Low Impact Expected,0.5%,0.5%,0.6%
11223,AUD,RBA Deputy Gov Debelle Speaks,Low Impact Expected,,,
11224,EUR,Italian Industrial Production m/m,Low Impact Expected,-1.1%,-0.6%,-3.4%
11225,USD,JOLTS Job Openings,High Impact Expected,11.45M,10.96M,11.26M
11226,USD,Crude Oil Inventories,Medium Impact Expected,-2.6M,-1.1M,-1.9M
11227,USD,10-y Bond Auction,Medium Impact Expected,1.90|2.7,,1.92|2.5
11228,JPY,PPI y/y,Low Impact Expected,8.9%,8.6%,9.3%
11229,GBP,RICS House Price Balance,Low Impact Expected,74%,72%,79%
11230,AUD,MI Inflation Expectations,Low Impact Expected,4.6%,,4.9%
11231,USD,CPI y/y,High Impact Expected,7.5%,7.9%,7.9%
11232,EUR,Main Refinancing Rate,High Impact Expected,0.00%,0.00%,0.00%
11233,EUR,Monetary Policy Statement,High Impact Expected,,,
11234,EUR,ECB Press Conference,High Impact Expected,,,
11235,USD,Core CPI m/m,High Impact Expected,0.6%,0.5%,0.5%
11236,USD,CPI m/m,High Impact Expected,0.6%,0.8%,0.8%
11237,USD,Unemployment Claims,Medium Impact Expected,216K,220K,227K
11238,USD,Natural Gas Storage,Low Impact Expected,-139B,-116B,-124B
11239,USD,30-y Bond Auction,Medium Impact Expected,2.34|2.3,,2.38|2.5
11240,USD,Federal Budget Balance,Low Impact Expected,118.7B,-213.0B,-216.6B
11241,JPY,PPI y/y,Low Impact Expected,8.9%,8.6%,9.3%
11242,GBP,RICS House Price Balance,Low Impact Expected,74%,72%,79%
11243,AUD,MI Inflation Expectations,Low Impact Expected,4.6%,,4.9%
11244,USD,CPI y/y,High Impact Expected,7.5%,7.9%,7.9%
11245,EUR,Main Refinancing Rate,High Impact Expected,0.00%,0.00%,0.00%
11246,EUR,Monetary Policy Statement,High Impact Expected,,,
11247,EUR,ECB Press Conference,High Impact Expected,,,
11248,USD,Core CPI m/m,High Impact Expected,0.6%,0.5%,0.5%
11249,USD,CPI m/m,High Impact Expected,0.6%,0.8%,0.8%
11250,USD,Unemployment Claims,Medium Impact Expected,216K,220K,227K
11251,USD,Natural Gas Storage,Low Impact Expected,-139B,-116B,-124B
11252,USD,30-y Bond Auction,Medium Impact Expected,2.34|2.3,,2.38|2.5
11253,USD,Federal Budget Balance,Low Impact Expected,118.7B,-213.0B,-216.6B
11254,NZD,BusinessNZ Manufacturing Index,Low Impact Expected,52.3,,53.6
11255,AUD,RBA Gov Lowe Speaks,High Impact Expected,,,
11256,NZD,FPI m/m,Low Impact Expected,2.7%,,-0.1%
11257,JPY,Household Spending y/y,Low Impact Expected,-0.2%,3.3%,6.9%
11258,JPY,BSI Manufacturing Index,Low Impact Expected,7.9,8.2,-7.6
11259,EUR,German Final CPI m/m,Low Impact Expected,0.9%,0.9%,0.9%
11260,GBP,Construction Output m/m,Low Impact Expected,2.0%,0.5%,1.1%
11261,GBP,GDP m/m,Low Impact Expected,-0.2%,0.1%,0.8%
11262,GBP,Index of Services 3m/3m,Low Impact Expected,1.2%,0.8%,1.0%
11263,GBP,Industrial Production m/m,Low Impact Expected,0.3%,0.1%,0.7%
11264,GBP,Manufacturing Production m/m,Low Impact Expected,0.2%,0.2%,0.8%
11265,GBP,Goods Trade Balance,Low Impact Expected,-12.4B,-12.6B,-26.5B
11266,CNY,M2 Money Supply y/y,Low Impact Expected,9.8%,9.5%,9.2%
11267,CNY,New Loans,Low Impact Expected,3980B,1425B,1230B
11268,EUR,Italian Quarterly Unemployment Rate,Low Impact Expected,9.1%,9.0%,9.1%
11269,GBP,Consumer Inflation Expectations,Low Impact Expected,3.2%,,4.3%
11270,CAD,Employment Change,High Impact Expected,-200.1K,132.0K,336.6K
11271,CAD,Unemployment Rate,High Impact Expected,6.5%,6.2%,5.5%
11272,CAD,Capacity Utilization Rate,Low Impact Expected,81.4%,81.9%,82.9%
11273,GBP,NIESR GDP Estimate,Low Impact Expected,1.1%,,1.0%
11274,USD,Prelim UoM Consumer Sentiment,High Impact Expected,62.8,61.4,59.7
11275,USD,Prelim UoM Inflation Expectations,Low Impact Expected,4.9%,,5.4%
11276,NZD,BusinessNZ Manufacturing Index,Low Impact Expected,52.3,,53.6
11277,AUD,RBA Gov Lowe Speaks,High Impact Expected,,,
11278,NZD,FPI m/m,Low Impact Expected,2.7%,,-0.1%
